Application,ProcessID,SwapChainAddress,Runtime,PresentMode,FrameType,Dropped,TimeInSeconds,msBetweenPresents,msInPresentAPI
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.000,0.000,0.234
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.008,7.891,0.198
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.016,7.845,0.201
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.024,8.123,0.195
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,1,0.032,45.678,2.345
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.078,7.234,0.198
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.086,7.890,0.201
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.094,8.012,0.196
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.102,7.567,0.203
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.110,7.923,0.199
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,1,0.118,32.456,1.876
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.151,7.345,0.197
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.159,8.234,0.202
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.167,7.678,0.198
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.175,7.890,0.201
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.183,8.045,0.195
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.191,7.432,0.203
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,1,0.199,28.901,1.654
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.228,7.567,0.196
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.236,8.123,0.202
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.244,7.890,0.199
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.252,50.123,3.456
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,1,0.303,7.234,0.198
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.311,7.678,0.201
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.319,8.345,0.195
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.327,7.456,0.203
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.335,7.890,0.199
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.343,8.012,0.196
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,1,0.351,22.345,1.234
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.374,7.567,0.202
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.382,7.890,0.198
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.390,8.234,0.201
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.398,7.345,0.195
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.406,7.678,0.203
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.414,8.045,0.199
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,1,0.422,35.678,2.109
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.458,7.432,0.196
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.466,7.890,0.202
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.474,8.123,0.198
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.482,7.567,0.201
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.490,7.890,0.195
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.498,8.345,0.203
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,1,0.506,42.890,2.567
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.549,7.234,0.199
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.557,7.678,0.196
cs2.exe,12345,0x12345678,DXGI,COMPOSED:FLIP,Full,0,0.565,8.012,0.202
